FacName,FacStreet,FacCity,FacState,RegistryID,FacSNCFlg,FacQtrsWithNC,FacInspectionCount,FacFormalActionCount,FacMapFlg,"DFR URL"
"2 STARS AUTO REBUILDERS","2441 W 47TH ST",CHICAGO,IL,110070159381,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070159381
"200 N MICHIGAN AVE OWNERS LLC","200 N MICHIGAN AVE",CHICAGO,IL,110056307036,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110056307036
"2001 EXPRESS MINI MART","1541 W GARFIELD BLVD",CHICAGO,IL,110070684739,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070684739
"2022 STREET PROGRAM","VARIOUS LOCATIONS WITH IN THE MS4","CHICAGO RIDHE",IL,110071512835,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110071512835
"222 SOUTH RIVERSIDE PLAZA","222 SOUTH RIVERSIDE PLAZA",CHICAGO,IL,110009111184,N,4,1,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110009111184
"2233-47 W OAKDALE AVE","2233-2247 W OAKDALE AVE",CHICAGO,IL,110071949554,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110071949554
"2430 CONDOMINIUM ASSOCIATION","2430 N LAKEVIEW AVE",CHICAGO,IL,110046436521,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110046436521
"2617 AUTO REPAIR","2617 S WABASH",CHICAGO,IL,110070159032,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070159032
"2800 N LAKE SHORE DR CONDO ASSOC","2800 N LAKE SHORE DR",CHICAGO,IL,110003055880,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110003055880
"29 N WACKER DRIVE LLC","29 N WACKER DR SUITE 705",CHICAGO,IL,110005923162,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005923162
"3 TEAM GROUP INC","5107 W MADISON ST",CHICAGO,IL,110070684309,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070684309
"300 NORTH LASALLE LLC","300 NORTH LASALLE",CHICAGO,IL,110030768783,N,2,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110030768783
"300 NORTH LASALLE LLC","300 N LASALLE ST-B",CHICAGO,IL,110027904436,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110027904436
"3105 W 27TH LLC","3105 W 27TH ST",CHICAGO,IL,110072044298,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110072044298
"332 PROPERTIES LLC","332 S MICHIGAN AVE",CHICAGO,IL,110018473374,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018473374
"333 BUILDING CORPORATION","333 NORTH MICHIGAN AVENUE",CHICAGO,IL,110018293531,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018293531
"350 NORTH ORLEANS","350 NORTH ORLEANS",CHICAGO,IL,110009987229,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110009987229
"3753-3759 S HALSTED LLC","3753 S HALSTED ST",CHICAGO,IL,110005809447,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005809447
"39TH LSD - CITY OF CHICAGO FLEET MGMT","1000 E OAKWOOD DR",CHICAGO,IL,110070684720,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070684720
"3STARS AUTOBODY & MUFFLER INC","3011 W LAWRENCE AVE",CHICAGO,IL,110070159220,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070159220
"400 CONDOMINIUM ASSOCIATION, THE","400 E. RANDOLPH DRIVE",CHICAGO,IL,110001304678,N,0,1,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001304678
"400 N. LAKESHORE DRIVE","462 EAST NORTH WATER STREET",CHICAGO,IL,110071501643,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110071501643
"4002 S MORGAN STREET","4002 S MORGAN STREET",CHICAGO,IL,110072108278,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110072108278
